IP,NAMESERVER,Query time,Msg size
173.245.58.119,isla.ns.cloudflare.com,4msec,72
173.245.58.105,dana.ns.cloudflare.com,5msec,72
173.245.59.216,noel.ns.cloudflare.com,5msec,72
a.root,,,
5.159.97.253,ns2.kraslan.ru,293msec,59
66.114.55.22,ns2.cdnetdns.net,3msec,109
174.35.55.22,ns1.cdnetdns.net,3msec,109
a.root,,,
185.143.232.253,c.ns.arvancdn.com,255msec,135
173.245.58.126,kim.ns.cloudflare.com,4msec,71
173.245.59.146,todd.ns.cloudflare.com,4msec,72
173.245.59.77,bruce.ns.cloudflare.com,5msec,73
173.245.58.235,venus.ns.cloudflare.com,5msec,73
208.80.124.13,ns6.dnsmadeeasy.com,35msec,464
208.94.148.13,ns5.dnsmadeeasy.com,6msec,464
208.80.126.13,ns7.dnsmadeeasy.com,40msec,464
173.245.58.111,elsa.ns.cloudflare.com,4msec,72
173.245.59.144,theo.ns.cloudflare.com,4msec,72
204.74.115.1,pdns6.ultradns.co.uk,4msec,394
204.74.114.1,pdns5.ultradns.info,39msec,394
199.7.69.1,pdns4.ultradns.org,4msec,394
199.7.68.1,pdns3.ultradns.org,177msec,394
204.74.109.1,pdns2.ultradns.net,3msec,394
204.74.108.1,pdns1.ultradns.net,4msec,394
69.20.95.4,dns1.stabletransit.com,268msec,169
65.61.188.4,dns2.stabletransit.com,163msec,169
173.245.58.157,fiona.ns.cloudflare.com,4msec,73
173.245.59.183,jobs.ns.cloudflare.com,4msec,72
194.232.133.2,ns2.apa.at,357msec,55
194.158.133.1,ns1.apa.at,350msec,83
173.245.59.101,andy.ns.cloudflare.com,6msec,72
173.245.58.134,mary.ns.cloudflare.com,5msec,72
dns.com.,dns1.comlaud,,
dns.co.uk.,dns3.comlaud,,
dns.eu.,dns4.comlaud,,
dns.net.,dns2.comlaud,174msec,41
1302.awsdns,n,,
2025.awsdns,n,,
706.awsdns,n,,
94.awsdns,n,,
217.16.16.30,ns1.masterhost.ru,307msec,138
217.16.16.15,ns1.masterhost.ru,205msec,138
217.16.16.20,ns1.masterhost.ru,200msec,138
217.16.16.16,ns1.masterhost.ru,231msec,138
1107.awsdns,n,,
1925.awsdns,n,,
372.awsdns,n,,
759.awsdns,n,,
lb.wordpress.com.,blog.wordpress.com,,
ns1.wordpress.com.,wordpress.com,6msec,558
198.41.222.173,ns3.digitalocean.com,12msec,65
173.245.59.41,ns2.digitalocean.com,996msec,65
173.245.58.51,ns1.digitalocean.com,686msec,65
95.100.168.64,usc1.akam.net,62msec,58
122.akam.net.,ns,,
61.akam.net.,ns,,
95.100.173.64,eur2.akam.net,185msec,58
95.101.36.64,asia2.akam.net,36msec,59
127.akam.net.,ns,,
125.209.249.6,adns2.naver.com,76msec,60
125.209.248.6,adns1.naver.com,4msec,60
203.104.137.9,ns2.naver.jp,77msec,154
203.104.137.1,ns1.naver.jp,79msec,154
216.239.36.10,ns3.google.com,116msec,87
216.239.32.10,ns1.google.com,56msec,87
216.239.34.10,ns2.google.com,56msec,87
216.239.38.10,ns4.google.com,397msec,87
212.12.160.2,ns1.nour.net.sa,357msec,164
shop.tmall.com.,newbalance.tmall.com,,
shop.tmall.com.gds.alibabadns.com.,shop.tmall.com,,
pilotsp.tmall.hk.,shop.tmall.com.gds.alibabadns.com,,
ns1.alibabadns.com.,tmall.hk,4msec,165
1031.awsdns,n,,
156.awsdns,n,,
2046.awsdns,n,,
859.awsdns,n,,
46.105.207.200,ns200.anycast.me,,
46.105.206.200,dns200.anycast.me,,
a.root,,,
173.245.59.111,ed.ns.cloudflare.com,5msec,70
173.245.58.142,roxy.ns.cloudflare.com,7msec,72
1133.awsdns,n,,
191.awsdns,n,,
1975.awsdns,n,,
882.awsdns,n,,
209.112.113.33,a1.verisigndns.com,40msec,976
69.36.145.33,a3.verisigndns.com,38msec,976
209.112.114.33,a2.verisigndns.com,69msec,976
teatr.com.,ns1.kin,305msec,36
111.161.57.77,f1g1ns1.dnspod.net,366msec,229
14.215.155.156,f1g1ns1.dnspod.net,235msec,229
14.215.155.170,f1g1ns1.dnspod.net,219msec,229
180.163.19.15,f1g1ns1.dnspod.net,,
182.140.167.166,f1g1ns1.dnspod.net,,
14.215.150.17,f1g1ns1.dnspod.net,220msec,229
61.151.180.44,f1g1ns1.dnspod.net,,
58.247.212.36,f1g1ns1.dnspod.net,,
61.129.8.159,f1g1ns2.dnspod.net,,
111.161.57.81,f1g1ns2.dnspod.net,320msec,229
14.215.155.203,f1g1ns2.dnspod.net,221msec,229
58.247.212.48,f1g1ns2.dnspod.net,330msec,229
58.247.212.119,f1g1ns2.dnspod.net,442msec,229
183.192.201.90,f1g1ns2.dnspod.net,,
182.140.167.188,f1g1ns2.dnspod.net,,
101.226.220.16,f1g1ns2.dnspod.net,,
1159.awsdns,n,,
15.awsdns,n,,
1642.awsdns,n,,
547.awsdns,n,,
202.87.39.14,ns4.netmagicians.com,68msec,231
173.245.58.163,hope.ns.cloudflare.com,4msec,72
173.245.59.231,sean.ns.cloudflare.com,6msec,72
81.19.83.8,ns3.rambler.ru,267msec,231
81.19.83.9,ns5.rambler.ru,259msec,231
173.245.59.66,apollo.ns.cloudflare.com,4msec,74
173.245.58.248,barbara.ns.cloudflare.com,4msec,75
67.akam.net.,a1,,
64.akam.net.,a1,,
67.akam.net.,a,,
65.akam.net.,a1,,
66.akam.net.,a2,,
173.245.58.104,coco.ns.cloudflare.com,7msec,72
173.245.59.147,tom.ns.cloudflare.com,5msec,71
200.147.38.8,charles.uol.com.br,451msec,150
1001.awsdns,n,,
1125.awsdns,n,,
1717.awsdns,n,,
364.awsdns,n,,
canada.topdns.com.,n,,
usa.topdns.com.,n,,
usa.topdns.com.,n,,
usa.topdns.com.,n,,
uk.topdns.com.,n,,
uk.topdns.com.,n,,
106.11.211.64,dns2.hichina.com,488msec,201
106.11.211.54,dns2.hichina.com,450msec,201
106.11.141.124,dns2.hichina.com,372msec,201
106.11.141.114,dns2.hichina.com,338msec,201
140.205.41.24,dns2.hichina.com,303msec,201
140.205.41.14,dns2.hichina.com,299msec,201
140.205.81.24,dns2.hichina.com,342msec,201
140.205.81.14,dns2.hichina.com,354msec,201
106.11.211.63,dns1.hichina.com,452msec,201
106.11.211.53,dns1.hichina.com,441msec,201
106.11.141.123,dns1.hichina.com,433msec,201
106.11.141.113,dns1.hichina.com,445msec,201
140.205.41.23,dns1.hichina.com,372msec,201
140.205.41.13,dns1.hichina.com,327msec,201
140.205.81.23,dns1.hichina.com,399msec,201
140.205.81.13,dns1.hichina.com,423msec,201
23.92.29.43,ns1.regzone.de,266msec,159
81.0.233.10,ns1.regzone.info,220msec,131
217.198.113.10,ns1.regzone.cz,220msec,371
67.akam.net.,a,,
67.akam.net.,a,,
66.akam.net.,a,,
65.akam.net.,a2,,
64.akam.net.,a1,,
173.201.64.100,cns2.secureserver.net,5msec,299
97.74.96.100,cns1.secureserver.net,5msec,299
105.akam.net.,ns,,
95.100.173.64,eur2.akam.net,228msec,58
184.26.160.65,usc4.akam.net,37msec,58
23.74.25.64,eur5.akam.net,247msec,58
23.211.61.64,asia3.akam.net,4msec,59
23.211.133.65,use4.akam.net,318msec,58
184.26.161.65,usw4.akam.net,248msec,86
1492.awsdns,n,,
1688.awsdns,n,,
24.awsdns,n,,
727.awsdns,n,,
208.80.126.13,ns7.dnsmadeeasy.com,41msec,464
198.51.44.9,dns1.p09.nsone.net,41msec,110
208.80.124.13,ns6.dnsmadeeasy.com,35msec,464
208.94.148.13,ns5.dnsmadeeasy.com,4msec,464
198.51.45.9,dns2.p09.nsone.net,39msec,110
96.7.49.65,use3.akam.net,265msec,58
184.26.160.65,usc4.akam.net,37msec,58
1252.awsdns,n,,
1658.awsdns,n,,
326.awsdns,n,,
965.awsdns,n,,
218.98.111.173,ns3.dns.com,,
183.2.194.173,ns3.dns.com,,
121.12.104.109,ns3.dns.com,,
218.98.111.109,ns3.dns.com,,
218.98.111.174,ns4.dns.com,,
183.2.194.174,ns4.dns.com,,
121.12.104.110,ns4.dns.com,,
218.98.111.110,ns4.dns.com,,
184.26.161.64,usw2.akam.net,217msec,58
23.211.133.65,use4.akam.net,250msec,58
72.246.46.64,use1.akam.net,54msec,58
2.16.40.64,use5.akam.net,295msec,86
96.7.49.64,use2.akam.net,237msec,58
a.root,,,
106.11.211.66,dns12.hichina.com,409msec,202
106.11.211.56,dns12.hichina.com,361msec,202
106.11.141.126,dns12.hichina.com,439msec,202
106.11.141.116,dns12.hichina.com,372msec,202
140.205.41.26,dns12.hichina.com,324msec,202
140.205.41.16,dns12.hichina.com,324msec,202
140.205.81.26,dns12.hichina.com,349msec,202
140.205.81.16,dns12.hichina.com,430msec,202
106.11.211.65,dns11.hichina.com,352msec,202
106.11.211.55,dns11.hichina.com,322msec,202
106.11.141.125,dns11.hichina.com,354msec,202
106.11.141.115,dns11.hichina.com,427msec,202
140.205.41.25,dns11.hichina.com,455msec,202
140.205.41.15,dns11.hichina.com,307msec,202
140.205.81.25,dns11.hichina.com,390msec,202
140.205.81.15,dns11.hichina.com,453msec,202
22.akam.net.,a,,
66.akam.net.,a1,,
65.akam.net.,a,,
67.akam.net.,a,,
65.akam.net.,a1,,
64.akam.net.,a2,,
178.250.6.4,ns22.criteo.com,181msec,60
182.161.72.6,ns28.criteo.com,41msec,60
182.161.73.4,ns27.criteo.com,76msec,60
74.119.119.1,ns25.criteo.com,307msec,60
178.250.0.5,ns23.criteo.com,220msec,60
74.119.117.4,ns26.criteo.com,206msec,60
173.245.58.101,amy.ns.cloudflare.com,4msec,71
173.245.59.125,jim.ns.cloudflare.com,5msec,71
173.245.59.124,jeff.ns.cloudflare.com,5msec,72
173.245.58.133,lucy.ns.cloudflare.com,6msec,72
192.174.68.104,ns.inwx.de,5msec,83
176.97.158.104,ns2.inwx.de,5msec,84
1129.awsdns,n,,
1690.awsdns,n,,
225.awsdns,n,,
891.awsdns,n,,
1018.awsdns,n,,
1148.awsdns,n,,
1860.awsdns,n,,
279.awsdns,n,,
176.97.158.100,sec2.rcode0.net,5msec,88
192.174.68.100,sec1.rcode0.net,4msec,88
59.160.116.37,ns1.accelicim.net,36msec,110
cloud,n,,
cloud,n,,
cloud,n,,
cloud,n,,
83.243.21.30,ns0.proceau.net,268msec,131
77.87.104.10,ns1.proceau.net,214msec,131
173.245.58.193,marjory.ns.cloudflare.com,4msec,75
173.245.59.222,piotr.ns.cloudflare.com,4msec,73
93.158.134.213,dns2.yandex.net,307msec,44
213.180.204.213,dns1.yandex.net,307msec,44
23.211.133.65,use4.akam.net,279msec,58
178.akam.net.,ns,,
95.100.175.64,asia1.akam.net,324msec,59
95.100.175.65,asia9.akam.net,323msec,87
23.211.61.64,asia3.akam.net,6msec,59
87.akam.net.,ns,,
95.100.174.64,eur3.akam.net,36msec,58
95.100.168.64,usc1.akam.net,57msec,58
1218.awsdns,n,,
1630.awsdns,n,,
510.awsdns,n,,
814.awsdns,n,,
199.7.68.1,pdns3.ultradns.org,217msec,394
204.74.109.1,pdns2.ultradns.net,4msec,394
204.74.108.1,pdns1.ultradns.net,5msec,394
209.112.113.33,a1.verisigndns.com,39msec,976
69.36.145.33,a3.verisigndns.com,42msec,976
209.112.114.33,a2.verisigndns.com,74msec,976
173.245.58.60,alice.ns.cloudflare.com,4msec,73
173.245.59.133,noah.ns.cloudflare.com,5msec,72
1462.awsdns,n,,
1794.awsdns,n,,
505.awsdns,n,,
920.awsdns,n,,
202.248.20.156,ons1.nifty.ad.jp,74msec,110
202.248.37.77,ons0.nifty.ad.jp,76msec,110
204.74.114.1,pdns5.ultradns.info,37msec,394
204.74.115.1,pdns6.ultradns.co.uk,4msec,394
208.78.70.10,ns1.p10.dynect.net,4msec,240
204.74.109.1,pdns2.ultradns.net,4msec,394
204.74.108.1,pdns1.ultradns.net,4msec,394
199.7.69.1,pdns4.ultradns.org,4msec,394
208.78.71.10,ns3.p10.dynect.net,4msec,240
204.13.250.10,ns2.p10.dynect.net,5msec,212
199.7.68.1,pdns3.ultradns.org,200msec,394
204.13.251.10,ns4.p10.dynect.net,3msec,212
208.80.125.2,ns3.dnsmadeeasy.com,34msec,416
208.80.126.2,ns2.dnsmadeeasy.com,41msec,416
208.94.148.2,ns0.dnsmadeeasy.com,4msec,416
208.80.127.2,ns4.dnsmadeeasy.com,40msec,416
208.80.124.2,ns1.dnsmadeeasy.com,35msec,416
67.akam.net.,a2,,
65.akam.net.,a2,,
146.akam.net.,a,,
65.akam.net.,a1,,
66.akam.net.,a,,
64.akam.net.,a2,,
198.51.44.1,dns1.p01.nsone.net,39msec,110
198.51.45.1,dns2.p01.nsone.net,41msec,110
198.51.44.65,dns3.p01.nsone.net,37msec,110
198.51.45.65,dns4.p01.nsone.net,39msec,110
1492.awsdns,n,,
1761.awsdns,n,,
264.awsdns,n,,
517.awsdns,n,,
185.143.235.253,u.ns.arvancdn.com,259msec,135
1118.awsdns,n,,
128.awsdns,n,,
1760.awsdns,n,,
561.awsdns,n,,
140.205.67.254,ns2.alibabadns.com,,
106.11.35.18,ns2.alibabadns.com,346msec,79
140.205.122.66,ns1.alibabadns.com,3msec,79
198.11.138.254,ns1.alibabadns.com,191msec,79
198.51.44.5,dns1.p05.nsone.net,96msec,110
198.51.45.5,dns2.p05.nsone.net,201msec,110
198.51.44.69,dns3.p05.nsone.net,235msec,110
198.51.45.69,dns4.p05.nsone.net,220msec,110
industries.net.,ns01.vandala,,
industries.net.,ns02.vandala,,
industries.net.,ns03.vandala,,
industries.net.,ns04.vandala,,
1259.awsdns,n,,
1995.awsdns,n,,
848.awsdns,n,,
99.awsdns,n,,
173.245.59.117,hugh.ns.cloudflare.com,5msec,72
173.245.58.137,olga.ns.cloudflare.com,4msec,72
96.7.49.64,use2.akam.net,167msec,58
23.74.25.64,eur5.akam.net,346msec,58
139.akam.net.,ns,,
23.61.199.66,usw1.akam.net,29msec,58
184.26.160.64,usc2.akam.net,37msec,58
72.246.46.64,use1.akam.net,55msec,58
2.16.40.64,use5.akam.net,348msec,86
1189.awsdns,n,,
121.awsdns,n,,
2036.awsdns,n,,
861.awsdns,n,,
1235.awsdns,n,,
179.awsdns,n,,
1978.awsdns,n,,
641.awsdns,n,,
208.78.70.7,ns1.p07.dynect.net,4msec,240
204.13.250.7,ns2.p07.dynect.net,4msec,212
208.78.71.7,ns3.p07.dynect.net,4msec,240
204.13.251.7,ns4.p07.dynect.net,4msec,212
64.akam.net.,a1,,
67.akam.net.,a1,,
66.akam.net.,a,,
65.akam.net.,a2,,
232.akam.net.,a,,
103.216.62.68,ns2.aasaam.net,358msec,541
178.216.248.205,ns3.aasaam.net,245msec,541
88.198.15.167,ns1.aasaam.net,226msec,541
1126.awsdns,n,,
1657.awsdns,n,,
298.awsdns,n,,
788.awsdns,n,,
cloud.nic.ru.,ns,,
cloud.nic.ru.,ns,,
l2.nic.ru.,ns,,
l2.nic.ru.,ns,,
l2.nic.ru.,ns,,
192.16.16.6,ns2.edgecastdns.net,4msec,64
192.16.16.5,ns1.edgecastdns.net,4msec,64
198.7.29.5,ns3.edgecastdns.net,4msec,64
198.7.29.6,ns4.edgecastdns.net,5msec,64
81.176.77.99,ns01.rtcomm.ru,252msec,59
120.awsdns,n,,
1294.awsdns,n,,
1962.awsdns,n,,
675.awsdns,n,,
66.akam.net.,a,,
185.akam.net.,a,,
65.akam.net.,a1,,
64.akam.net.,a1,,
64.akam.net.,a,,
67.akam.net.,a2,,
184.26.161.65,usw4.akam.net,216msec,86
2.16.130.64,eur1.akam.net,245msec,58
184.26.160.66,zc.akam.net,39msec,84
72.246.46.64,use1.akam.net,62msec,58
84.53.139.64,eur4.akam.net,47msec,58
184.26.161.64,usw2.akam.net,188msec,58
173.245.58.142,roxy.ns.cloudflare.com,5msec,72
173.245.59.146,todd.ns.cloudflare.com,6msec,72
173.245.59.113,fred.ns.cloudflare.com,5msec,72
173.245.58.142,roxy.ns.cloudflare.com,6msec,72
173.245.59.163,elmo.ns.cloudflare.com,6msec,72
173.245.58.133,lucy.ns.cloudflare.com,3msec,72
173.245.59.92,coby.ns.cloudflare.com,5msec,72
173.245.58.132,lola.ns.cloudflare.com,4msec,72
1245.awsdns,n,,
2042.awsdns,n,,
29.awsdns,n,,
796.awsdns,n,,
103.83.123.78,nic3.opera.com,4msec,214
185.26.183.160,nic1.opera.com,168msec,214
37.228.109.145,nic2.opera.no,235msec,214
107.167.127.230,nic4.opera.com,194msec,214
185.113.25.13,ns02.future.net.uk,251msec,168
185.113.25.3,ns01.future.net.uk,246msec,168
195.234.243.250,ns5.anlremote.com,254msec,62
195.234.240.251,ns6.associated.co.uk,322msec,65
173.245.58.121,jean.ns.cloudflare.com,5msec,72
173.245.59.132,max.ns.cloudflare.com,5msec,71
229.akam.net.,a,,
64.akam.net.,a1,,
65.akam.net.,a1,,
66.akam.net.,a2,,
64.akam.net.,a,,
67.akam.net.,a,,
14.215.155.156,f1g1ns1.dnspod.net,167msec,229
14.215.155.170,f1g1ns1.dnspod.net,136msec,229
180.163.19.15,f1g1ns1.dnspod.net,,
182.140.167.166,f1g1ns1.dnspod.net,,
14.215.150.17,f1g1ns1.dnspod.net,145msec,229
61.151.180.44,f1g1ns1.dnspod.net,,
58.247.212.36,f1g1ns1.dnspod.net,,
111.161.57.77,f1g1ns1.dnspod.net,323msec,229
14.215.155.203,f1g1ns2.dnspod.net,,
58.247.212.48,f1g1ns2.dnspod.net,306msec,229
58.247.212.119,f1g1ns2.dnspod.net,325msec,229
183.192.201.90,f1g1ns2.dnspod.net,,
182.140.167.188,f1g1ns2.dnspod.net,,
101.226.220.16,f1g1ns2.dnspod.net,,
61.129.8.159,f1g1ns2.dnspod.net,,
111.161.57.81,f1g1ns2.dnspod.net,320msec,229
173.245.59.128,kip.ns.cloudflare.com,5msec,71
173.245.58.129,leah.ns.cloudflare.com,5msec,72
208.78.71.30,ns3.p30.dynect.net,5msec,240
208.78.70.30,ns1.p30.dynect.net,4msec,240
204.13.251.30,ns4.p30.dynect.net,5msec,212
204.13.250.30,ns2.p30.dynect.net,4msec,212
1517.awsdns,n,,
1649.awsdns,n,,
362.awsdns,n,,
724.awsdns,n,,
173.245.58.84,chin.ns.cloudflare.com,4msec,72
173.245.59.157,dom.ns.cloudflare.com,4msec,71
66.akam.net.,a1,,
64.akam.net.,a,,
65.akam.net.,a1,,
203.akam.net.,a,,
64.akam.net.,a1,,
67.akam.net.,a2,,
170.33.24.74,vip4.alidns.com,4msec,44
140.205.1.6,vip4.alidns.com,5msec,44
14.1.112.22,vip4.alidns.com,36msec,44
170.33.23.14,vip4.alidns.com,295msec,44
170.33.24.73,vip3.alidns.com,5msec,44
140.205.1.5,vip3.alidns.com,3msec,44
14.1.112.21,vip3.alidns.com,37msec,44
170.33.23.13,vip3.alidns.com,328msec,44
1197.awsdns,n,,
2019.awsdns,n,,
270.awsdns,n,,
629.awsdns,n,,
173.245.59.131,matt.ns.cloudflare.com,5msec,72
173.245.58.143,ruth.ns.cloudflare.com,4msec,72
208.78.71.11,ns3.p11.dynect.net,4msec,240
204.13.250.11,ns2.p11.dynect.net,4msec,212
204.13.251.11,ns4.p11.dynect.net,3msec,212
208.78.70.11,ns1.p11.dynect.net,5msec,240
200.44.32.10,dns1.cantv.net,299msec,59
200.109.76.11,dns2.cantv.net,356msec,59
173.245.59.230,scott.ns.cloudflare.com,5msec,73
173.245.58.237,violet.ns.cloudflare.com,4msec,74
204.74.108.1,pdns1.ultradns.net,4msec,394
204.74.109.1,pdns2.ultradns.net,4msec,394
199.7.68.1,pdns3.ultradns.org,202msec,394
199.7.69.1,pdns4.ultradns.org,4msec,394
204.74.114.1,pdns5.ultradns.info,39msec,394
204.74.115.1,pdns6.ultradns.co.uk,4msec,394
79.110.87.150,ns2.gfsrv.net,207msec,58
23.211.133.65,use4.akam.net,227msec,58
173.akam.net.,ns,,
96.7.50.65,usc5.akam.net,269msec,86
105.akam.net.,ns,,
95.100.173.64,eur2.akam.net,238msec,58
23.74.25.64,eur5.akam.net,240msec,58
96.7.49.64,use2.akam.net,225msec,58
2.16.40.64,use5.akam.net,239msec,86
193.akam.net.,ns,,
66.akam.net.,ns,,
65.akam.net.,ns,,
67.akam.net.,ns,,
118.143.67.6,ns2.globalsources.com,41msec,219
203.92.211.200,ns.globalsources.com,44msec,228
173.245.59.192,kirk.ns.cloudflare.com,4msec,72
173.245.58.215,rachel.ns.cloudflare.com,5msec,74
204.74.66.130,ns1.eurodns.com,4msec,196
204.74.110.130,ns2.eurodns.com,4msec,196
204.74.67.130,ns3.eurodns.com,69msec,196
204.74.111.130,ns4.eurodns.com,5msec,196
173.245.59.94,curt.ns.cloudflare.com,4msec,72
173.245.58.165,ingrid.ns.cloudflare.com,5msec,74
164.100.2.11,ns7.nic.in,48msec,39
164.100.14.3,ns1.nic.in,79msec,420
164.100.10.18,ns2.nic.in,81msec,39
1137.awsdns,n,,
1846.awsdns,n,,
240.awsdns,n,,
998.awsdns,n,,
194.79.69.129,ns1.novis.pt,252msec,127
14.awsdns,n,,
1444.awsdns,n,,
1725.awsdns,n,,
788.awsdns,n,,
199.7.69.1,pdns4.ultradns.org,4msec,394
204.74.114.1,pdns5.ultradns.info,39msec,394
204.74.115.1,pdns6.ultradns.co.uk,5msec,394
204.74.108.1,pdns1.ultradns.net,4msec,394
204.74.109.1,pdns2.ultradns.net,4msec,394
199.7.68.1,pdns3.ultradns.org,224msec,394
111.30.142.18,ns1.dnsv3.com,,
223.166.151.13,ns1.dnsv3.com,,
220.249.242.12,ns1.dnsv3.com,322msec,208
14.215.150.12,ns1.dnsv3.com,280msec,208
61.151.180.47,ns1.dnsv3.com,,
52.221.20.79,ns1.dnsv3.com,5msec,208
182.140.167.168,ns1.dnsv3.com,,
52.221.20.79,ns2.dnsv3.com,5msec,208
111.30.142.18,ns2.dnsv3.com,,
180.163.19.16,ns2.dnsv3.com,,
101.226.220.15,ns2.dnsv3.com,,
59.36.120.144,ns2.dnsv3.com,122msec,208
125.39.213.167,ns2.dnsv3.com,318msec,208
61.151.180.48,ns2.dnsv3.com,,
204.13.250.15,ns2.p15.dynect.net,4msec,212
198.51.44.4,dns1.p04.nsone.net,40msec,110
198.51.44.68,dns3.p04.nsone.net,39msec,110
204.13.251.15,ns4.p15.dynect.net,4msec,212
208.78.70.15,ns1.p15.dynect.net,4msec,240
208.78.71.15,ns3.p15.dynect.net,6msec,240
198.51.45.4,dns2.p04.nsone.net,39msec,110
198.51.45.68,dns4.p04.nsone.net,41msec,110
199.7.69.1,pdns4.ultradns.org,4msec,394
204.74.108.1,pdns1.ultradns.net,5msec,394
204.74.114.1,pdns5.ultradns.info,38msec,394
199.7.68.1,pdns3.ultradns.org,241msec,394
204.74.115.1,pdns6.ultradns.co.uk,4msec,394
204.74.109.1,pdns2.ultradns.net,4msec,394
173.245.59.131,matt.ns.cloudflare.com,4msec,72
173.245.58.140,rita.ns.cloudflare.com,6msec,72
14.215.150.14,ns1.dnsv4.com,229msec,240
61.151.180.49,ns1.dnsv4.com,,
59.36.120.145,ns1.dnsv4.com,197msec,240
61.129.8.140,ns1.dnsv4.com,,
125.39.213.169,ns1.dnsv4.com,217msec,240
182.140.167.169,ns1.dnsv4.com,,
162.14.18.121,ns1.dnsv4.com,5msec,240
183.232.90.141,ns1.dnsv4.com,74msec,240
52.74.43.18,ns1.dnsv4.com,4msec,240
111.161.57.58,ns2.dnsv4.com,268msec,240
61.151.180.50,ns2.dnsv4.com,,
223.166.151.15,ns2.dnsv4.com,,
162.14.18.188,ns2.dnsv4.com,5msec,240
58.251.86.11,ns2.dnsv4.com,368msec,240
14.215.150.15,ns2.dnsv4.com,236msec,240
52.74.43.18,ns2.dnsv4.com,4msec,240
183.232.90.141,ns2.dnsv4.com,75msec,240
223.166.151.14,ns2.dnsv4.com,,
173.245.58.59,ali.ns.cloudflare.com,5msec,71
173.245.59.167,george.ns.cloudflare.com,5msec,74
185.143.235.253,w.ns.arvancdn.com,237msec,135
173.245.58.87,cortney.ns.cloudflare.com,5msec,75
173.245.59.214,nile.ns.cloudflare.com,6msec,72
208.78.71.3,ns3.p03.dynect.net,5msec,240
204.13.251.3,ns4.p03.dynect.net,4msec,212
204.13.250.3,ns2.p03.dynect.net,5msec,212
208.78.70.3,ns1.p03.dynect.net,4msec,240
173.245.59.86,chuck.ns.cloudflare.com,4msec,73
173.245.58.164,ines.ns.cloudflare.com,5msec,72
173.245.59.117,hugh.ns.cloudflare.com,5msec,72
173.245.58.123,kara.ns.cloudflare.com,4msec,72
173.245.58.107,dina.ns.cloudflare.com,4msec,72
173.245.59.131,matt.ns.cloudflare.com,7msec,72
1409.awsdns,n,,
1608.awsdns,n,,
166.awsdns,n,,
804.awsdns,n,,
1261.awsdns,n,,
1935.awsdns,n,,
265.awsdns,n,,
619.awsdns,n,,
69.akam.net.,a,,
66.akam.net.,a2,,
64.akam.net.,a,,
67.akam.net.,a,,
64.akam.net.,a1,,
65.akam.net.,a2,,
1072.awsdns,n,,
1935.awsdns,n,,
340.awsdns,n,,
672.awsdns,n,,
199.7.69.1,pdns4.ultradns.org,5msec,394
204.74.114.1,pdns5.ultradns.info,41msec,394
208.78.71.31,ns3.p31.dynect.net,4msec,240
199.7.68.1,pdns3.ultradns.org,241msec,394
208.78.70.31,ns1.p31.dynect.net,5msec,240
204.74.108.1,pdns1.ultradns.net,5msec,394
204.74.115.1,pdns6.ultradns.co.uk,4msec,394
204.74.109.1,pdns2.ultradns.net,4msec,394
204.13.251.31,ns4.p31.dynect.net,5msec,212
204.13.250.31,ns2.p31.dynect.net,4msec,212
173.245.59.168,gerald.ns.cloudflare.com,4msec,74
173.245.58.207,nadia.ns.cloudflare.com,4msec,73
204.13.251.29,ns4.p29.dynect.net,3msec,212
208.78.70.29,ns1.p29.dynect.net,4msec,240
208.78.71.29,ns3.p29.dynect.net,4msec,240
204.13.250.29,ns2.p29.dynect.net,4msec,212
1121.awsdns,n,,
1839.awsdns,n,,
248.awsdns,n,,
992.awsdns,n,,
125.209.248.6,ns1.naver.com,4msec,58
125.209.249.6,ns2.naver.com,85msec,58
1177.awsdns,n,,
1961.awsdns,n,,
360.awsdns,n,,
602.awsdns,n,,
173.245.58.93,dee.ns.cloudflare.com,4msec,71
173.245.59.194,lakas.ns.cloudflare.com,4msec,73
185.136.97.111,pns2.cloudns.net,276msec,403
185.136.99.111,pns4.cloudns.net,36msec,354
185.136.96.111,pns1.cloudns.net,4msec,354
185.136.98.111,pns3.cloudns.net,4msec,403
208.84.0.53,ns1.msft.net,38msec,85
208.84.2.53,ns2.msft.net,4msec,85
193.221.113.53,ns3.msft.net,38msec,85
208.76.45.53,ns4.msft.net,4msec,85
1219.awsdns,n,,
1699.awsdns,n,,
470.awsdns,n,,
565.awsdns,n,,
173.245.59.85,chris.ns.cloudflare.com,5msec,73
173.245.58.204,mira.ns.cloudflare.com,8msec,72
208.78.70.28,ns1.p28.dynect.net,5msec,240
204.13.251.28,ns4.p28.dynect.net,5msec,212
198.51.45.72,dns4.p08.nsone.net,41msec,110
198.51.45.8,dns2.p08.nsone.net,40msec,110
204.13.250.28,ns2.p28.dynect.net,4msec,212
198.51.44.8,dns1.p08.nsone.net,40msec,110
198.51.44.72,dns3.p08.nsone.net,42msec,110
208.78.71.28,ns3.p28.dynect.net,4msec,240
1041.awsdns,n,,
2042.awsdns,n,,
427.awsdns,n,,
651.awsdns,n,,
61.151.180.51,ns3.dnsv5.com,,
58.251.86.12,ns3.dnsv5.com,299msec,256
14.215.150.16,ns3.dnsv5.com,243msec,256
59.36.120.148,ns3.dnsv5.com,133msec,256
18.194.2.137,ns3.dnsv5.com,247msec,256
223.166.151.16,ns3.dnsv5.com,,
